Data length, CPU cycles, Run Time, Throughput
14, 101.000000, 18.844000, 10174.418945
160, 20.350000, 2.071000, 152235.968750
176, 19.409090, 1.219000, 161616.156250
192, 18.546875, 1.330000, 168865.421875
208, 17.860577, 1.252000, 173333.328125
224, 17.263393, 1.319000, 183006.531250
240, 16.754168, 1.357000, 187940.500000
256, 16.324219, 1.408000, 192481.203125
272, 15.911765, 1.445000, 200147.171875
288, 15.614583, 1.537000, 201822.000000
304, 15.299342, 1.673000, 201191.265625
320, 15.021875, 1.655000, 208877.281250
336, 14.755953, 1.775000, 212792.906250
352, 14.517045, 1.697000, 212432.093750
368, 14.298913, 1.834000, 221153.843750
384, 14.140625, 1.874000, 222350.890625
400, 13.960000, 1.988000, 226372.390625
416, 13.812500, 1.978000, 229201.109375
432, 13.634259, 2.036000, 232508.078125
448, 13.493303, 2.053000, 234923.968750
464, 13.316811, 2.091000, 237826.765625
480, 13.210417, 2.170000, 239520.968750
496, 13.096774, 2.151000, 241245.125000
512, 12.972656, 2.184000, 243461.734375
528, 12.878788, 2.266000, 244784.437500
544, 12.764706, 2.386000, 246823.953125
560, 12.732142, 2.381000, 246478.859375
576, 12.604167, 2.443000, 250543.703125
592, 12.547297, 2.412000, 252452.031250
608, 12.478619, 2.542000, 254393.296875
624, 12.383013, 2.602000, 255842.562500
640, 12.335938, 2.597000, 257441.671875
656, 12.275914, 2.786000, 258064.515625
672, 12.206845, 2.675000, 257471.250000
688, 12.135175, 2.760000, 261001.515625
704, 12.075284, 2.776000, 262686.562500
720, 12.026389, 2.831000, 263639.687500
736, 11.975543, 2.880000, 263610.312500
752, 11.926862, 2.901000, 262295.093750
768, 11.877604, 3.121000, 265560.187500
784, 11.831633, 3.046000, 267212.000000
800, 11.782500, 3.053000, 269541.781250
816, 11.747549, 3.144000, 269306.937500
832, 11.710337, 3.214000, 271451.875000
848, 11.655661, 3.214000, 273901.812500
864, 11.614583, 3.267000, 273764.250000
880, 11.585227, 3.313000, 273631.843750
896, 11.552455, 3.375000, 273420.812500
912, 11.514255, 3.384000, 269026.562500
928, 11.485991, 3.452000, 274231.687500
944, 11.450212, 3.540000, 276670.593750
960, 11.418750, 3.544000, 276896.437500
976, 11.379098, 3.648000, 279256.062500
992, 11.360888, 3.639000, 279357.937500
1008, 11.333333, 3.779000, 281171.531250
